Number,Commodity,Include
1,Alfalfa,yes
12,Safflower,no
22,Sunflower,no
23,Corn,yes
24,Rice,yes
108,Bush Berries,yes
109,Vineyards,yes
246,Potatoes,yes
277,Cucurbit,yes
278,Tomatoes,yes
279,Truck Crops,yes
403,Cherries,yes
409,Olives,yes
412,Pears,yes
425,Citrus,no
500,Almonds,yes
502,Pistachios,yes
503,Walnuts,yes
800,Pasture,yes
916,Fallow,yes
913,Semi-agricultural/ROW,yes
914,Other Deciduous,yes
908,Turf,yes
2002,Floating Vegetation,no
2003,Forage Grass,yes
2004,Riparian,no
2005,Upland Herbaceous,no
2006,Urban,no
2007,Water,no
2008,Wet herbaceous/sub irrigated pasture,yes
0,NA,no
