"month","model","region","wateryear","source","count","mean","median","p25","p75","p9","p91","stdDev"
"APR","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,45.136936172886,48,43,49,32,51,6.17366624383772
"APR","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,43.7163185937304,46,41,48,31,49,6.01085974508875
"APR","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,45.4289781818158,45,44,46,44,47,1.27631773534138
"APR","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,43.2279971128092,43,42,44,42,45,1.06895118853306
"APR","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,45.5125765593116,46,45,46,44,46,0.685651348273852
"APR","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,42.5101705104931,43,42,43,41,43,0.700433678898352
"AUG","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,62.6779484441094,66,59,68,44,70,8.56385051163848
"AUG","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,61.6008590248984,65,58,67,43,69,8.39515172643517
"AUG","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,50.9034309276246,51,50,52,49,53,1.439918654491
"AUG","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,55.2378251443432,55,54,56,53,58,1.65280558407758
"AUG","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,61.1509906798701,61,60,62,59,63,1.51317573418979
"AUG","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,60.9722030806986,61,60,63,58,63,2.0070675601447
"DEC","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,10.3412047289232,11,10,11,7,12,1.38297496967446
"DEC","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,11.5969977645852,12,11,13,8,13,1.67971504877534
"DEC","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,14.1100394665634,14,14,14,13,15,0.555851200543122
"DEC","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,14.1100394665634,14,14,14,13,15,0.555851200543122
"DEC","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,9,9,9,9,9,9,0
"DEC","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,8.86696999520127,9,9,9,8,9,0.339607159261976
"FEB","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,20.1656736215814,21,19,22,14,23,2.75061111678496
"FEB","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,23.0510166687607,24,22,25,16,26,3.08566999166411
"FEB","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,25.7833697286028,26,25,26,25,27,0.83607149742691
"FEB","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,20.6907571284885,21,20,21,20,22,0.642290181927181
"FEB","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,18.9988634175969,19,19,19,19,19,0.0336940734190999
"FEB","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,19.396507643658,19,19,20,19,20,0.489172088511603
"JAN","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,12.8963817167148,14,12,14,9,14,1.84906429513853
"JAN","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,12.0269054686518,13,11,13,8,13,1.67606869932313
"JAN","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,16.5676376143637,17,16,17,16,17,0.508007221198301
"JAN","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,14.952985317339,15,14,16,14,16,0.759257175565388
"JAN","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,8.76938532276807,9,9,9,8,9,0.421226243101189
"JAN","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,9.17089937801543,9,9,9,9,10,0.376421015100601
"JUL","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,67.7714782400427,72,64,74,48,76,9.12997707888366
"JUL","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,69.994101279474,74,66,76,49,79,9.55293301966797
"JUL","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,62.3958059169088,62,61,64,60,65,1.80197542522725
"JUL","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,63.3879659374307,63,62,65,61,67,1.94375263739769
"JUL","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,67.1730825826586,68,66,69,64,69,1.86157204193505
"JUL","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,69.1486612257047,70,68,71,66,72,2.13426884984155
"JUN","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,69.6877146417054,74,66,76,49,78,9.46715721411369
"JUN","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,69.8581466997529,74,66,76,49,78,9.52435515236369
"JUN","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,64.2111382612332,64,63,65,63,67,1.51349513645298
"JUN","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,63.2686160657903,63,61,65,60,68,2.81239277223918
"JUN","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,67.0587462997457,67,66,69,64,69,1.93176490864274
"JUN","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,67.6348378185329,68,67,69,65,70,1.67726041787164
"MAR","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,34.8700589872053,37,33,38,24,39,4.7519984868047
"MAR","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,28.7334071491393,30,27,31,20,32,3.96349015963255
"MAR","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,34.9880900107255,35,34,35,34,37,1.21487611783112
"MAR","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,27.5179356585733,27,27,28,27,29,0.972122805871645
"MAR","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,32.7919110905716,33,33,33,32,33,0.440677505207354
"MAR","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,25.7769946674186,26,25,26,25,26,0.545583737540713
"MAY","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,53.9278751518197,57,51,59,38,60,7.29461927044464
"MAY","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,55.7968717280228,59,53,61,39,63,7.6242986603284
"MAY","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,51.1173549484369,51,50,52,49,54,1.57690943205751
"MAY","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,50.9699838822508,51,49,53,48,55,2.41302944655221
"MAY","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,49.3411340789403,50,48,50,47,51,1.31512706405984
"MAY","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,51.5977140865535,52,51,52,50,53,1.16089226422137
"NOV","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,16.4755429518993,17,16,18,12,18,2.2487074092296
"NOV","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,17.0531362556016,18,16,19,12,19,2.34111691962955
"NOV","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,18.8467383970856,19,19,19,18,19,0.366033118629325
"NOV","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,18.8467383970856,19,19,19,18,19,0.366033118629325
"NOV","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,13,13,13,13,13,13,0
"NOV","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,14,14,14,14,14,14,0
"OCT","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,32.0964359660971,34,30,35,23,36,4.33660843237482
"OCT","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,33.9418101755874,36,32,37,24,38,4.63351325470395
"OCT","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,29.9300108171496,30,29,30,29,31,0.713350776971761
"OCT","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,29.9300108171496,30,29,30,29,31,0.713350776971761
"OCT","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,31.6366637528141,32,31,32,31,32,0.676131548927939
"OCT","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,33.0812204047128,33,33,34,32,34,0.654545472148676
"SEP","detaw_eto","dsa",2015,"data/eto/detaw_eto-dsa-2015.geojson",3056256,49.9207196648448,53,47,54,35,56,6.85790529133879
"SEP","detaw_eto","dsa",2016,"data/eto/detaw_eto-dsa-2016.geojson",3056256,48.8112707181597,52,46,53,34,55,6.64991571644702
"SEP","disalexi_eto","dsa",2015,"data/eto/disalexi_eto-dsa-2015.geojson",3056258,43.0940041711138,43,42,43,42,45,1.0797179335225
"SEP","disalexi_eto","dsa",2016,"data/eto/disalexi_eto-dsa-2016.geojson",3056258,42.7294894606411,43,42,43,42,44,0.806157532538616
"SEP","spatial_cimis_eto","dsa",2015,"data/eto/spatial_cimis_eto-dsa-2015.geojson",3890611,48.1372337147045,48,47,49,47,49,1.03694005409962
"SEP","spatial_cimis_eto","dsa",2016,"data/eto/spatial_cimis_eto-dsa-2016.geojson",3890611,47.7408430192584,48,47,49,46,49,1.03446726522189
