rDateTime,D1ETa_SR,D2ETa_SR,D3ETa_SR,D4ETa_SR,D5ETa_SR,D5ETa_EC
9/9/2015,,,,,0.383202912,0.271462026
9/10/2015,,,-0.828933922,-0.017235924,-0.536028176,0.272006778
9/11/2015,-0.114907762,-0.022238553,-0.850610191,-0.199741156,-0.387583226,-0.054440532
9/12/2015,0.070727754,-0.025726187,0.390497564,0.555223679,0.020415093,-0.026914685
9/13/2015,-0.102512133,0.129778445,0.725313684,0.980208848,0.581240248,0.136458608
9/14/2015,0.035961903,0.096687201,0.064381032,0.505811041,0.655529018,-0.16327777
9/15/2015,0.418773654,0.426499447,-0.186012498,0.508297959,-0.113428512,-0.240880762
9/16/2015,0.288918555,-0.010814951,0.338392945,0.689511818,1.241974556,0.154606134
9/17/2015,0.738045227,1.049920293,-0.988445696,-0.192758704,0.122459734,-0.313240546
9/18/2015,0.035086627,0.281901989,-0.357479607,-0.100201684,0.583133761,0.191186056
9/19/2015,1.109594823,1.594508309,0.940028121,1.114111664,1.401131064,0.546306869
9/20/2015,1.357787607,1.680611336,1.102319358,1.182835162,1.195887788,0.6342243
9/21/2015,-0.529402045,0.104946639,-0.220952399,0.093846003,0.297415188,0.39290716
9/22/2015,0.355951438,0.702894311,-0.427427919,0.081452407,-0.166570691,0.053761821
9/23/2015,-0.291355494,-0.122814554,-0.887420278,-0.448869733,-0.080861496,0.125866596
9/24/2015,0.244502047,0.438555989,0.610086258,0.676623313,0.796518416,0.323347382
9/25/2015,0.061527558,-0.01571885,0.454582212,0.945598671,0.626250829,0.374868172
9/26/2015,-0.782514821,-0.881644659,-0.718693081,-0.081265161,,-0.014191987
9/27/2015,0.207068192,0.489711004,1.013746648,1.166113491,,-0.014983425
9/28/2015,0.346003251,0.738369465,0.590719695,0.622280245,,0.147457972
9/29/2015,0.097975,0.504386378,0.207479469,0.327062093,,0.320055055
9/30/2015,-0.083870194,-0.096567467,0.102115049,0.118726332,,0.052906972
