Month,Year,WaterYear,NumberDays,Full
OCT,2014,2015,31,October
NOV,2014,2015,30,November
DEC,2014,2015,31,December
JAN,2015,2015,31,January
FEB,2015,2015,28,February
MAR,2015,2015,31,March
APR,2015,2015,30,April
MAY,2015,2015,31,May
JUN,2015,2015,30,June
JUL,2015,2015,31,July
AUG,2015,2015,31,August
SEP,2015,2015,30,September
OCT,2015,2016,31,October
NOV,2015,2016,30,November
DEC,2015,2016,31,December
JAN,2016,2016,31,January
FEB,2016,2016,29,February
MAR,2016,2016,31,March
APR,2016,2016,30,April
MAY,2016,2016,31,May
JUN,2016,2016,30,June
JUL,2016,2016,31,July
AUG,2016,2016,31,August
SEP,2016,2016,30,September
